#datatype,string,long,dateTime:RFC3339,string,string,double
#group,true,true,false,true,true,false
#default,,,,,,
,result,table,_time,_measurement,_field,_value
,ur,13,2025-08-29T10:25:57.588Z,ur_joints,base,-1.891413310
,ur,13,2025-08-29T10:25:57.588Z,ur_joints,elbow,-0.566708408
,ur,13,2025-08-29T10:25:57.588Z,ur_joints,shoulder,-1.270774228
,ur,13,2025-08-29T10:25:57.588Z,ur_joints,wrist1,-0.737227076
,ur,13,2025-08-29T10:25:57.588Z,ur_joints,wrist2,1.974141917
,ur,13,2025-08-29T10:25:57.588Z,ur_joints,wrist3,-0.034033920
,ur,14,2025-08-29T10:25:57.695Z,ur_joints,base,-1.872738287
,ur,14,2025-08-29T10:25:57.695Z,ur_joints,elbow,-0.671428163
,ur,14,2025-08-29T10:25:57.695Z,ur_joints,shoulder,-1.300095760
,ur,14,2025-08-29T10:25:57.695Z,ur_joints,wrist1,-0.741764932
,ur,14,2025-08-29T10:25:57.695Z,ur_joints,wrist2,1.949881840
,ur,14,2025-08-29T10:25:57.695Z,ur_joints,wrist3,-0.033859387
,ur,15,2025-08-29T10:25:57.806Z,ur_joints,base,-1.854237797
,ur,15,2025-08-29T10:25:57.806Z,ur_joints,elbow,-0.776147918
,ur,15,2025-08-29T10:25:57.806Z,ur_joints,shoulder,-1.329242758
,ur,15,2025-08-29T10:25:57.806Z,ur_joints,wrist1,-0.746302788
,ur,15,2025-08-29T10:25:57.806Z,ur_joints,wrist2,1.925621764
,ur,15,2025-08-29T10:25:57.806Z,ur_joints,wrist3,-0.033684855
,ur,16,2025-08-29T10:25:57.918Z,ur_joints,base,-1.835562774
,ur,16,2025-08-29T10:25:57.918Z,ur_joints,elbow,-0.880867673
,ur,16,2025-08-29T10:25:57.918Z,ur_joints,shoulder,-1.358389757
,ur,16,2025-08-29T10:25:57.918Z,ur_joints,wrist1,-0.750840644
,ur,16,2025-08-29T10:25:57.918Z,ur_joints,wrist2,1.901361687
,ur,16,2025-08-29T10:25:57.918Z,ur_joints,wrist3,-0.033510322
,ur,17,2025-08-29T10:25:58.026Z,ur_joints,base,-1.816887751
,ur,17,2025-08-29T10:25:58.026Z,ur_joints,elbow,-0.985587429
,ur,17,2025-08-29T10:25:58.026Z,ur_joints,shoulder,-1.387711288
,ur,17,2025-08-29T10:25:58.026Z,ur_joints,wrist1,-0.755378500
,ur,17,2025-08-29T10:25:58.026Z,ur_joints,wrist2,1.877101611
