#constant measurement,ur_joints
#datatype double,double,double,double,double,double
base,elbow,shoulder,wrist1,wrist2,wrist3
-2.182010631,1.069537766,-0.814545162,-0.666541241,2.353227430,-0.037175513
-2.169618793,0.999550063,-0.834092850,-0.669682834,2.336995868,-0.037000980
-2.154608962,0.915599726,-0.857480262,-0.673348025,2.317448181,-0.036826447
-2.137330202,0.817512222,-0.884881931,-0.677536816,2.294758901,-0.036651914
-2.118655179,0.712792467,-0.914028929,-0.682074672,2.270498824,-0.036477381
-2.100154689,0.608072711,-0.943175928,-0.686612528,2.246238747,-0.036302848
-2.081479666,0.503352956,-0.972497459,-0.691150384,2.221978671,-0.036128316
-2.062804643,0.398633201,-1.001644458,-0.695513707,2.197718594,-0.035953783
-2.044304153,0.293913446,-1.030791456,-0.700051563,2.173458518,-0.035779250
-2.025629130,0.189193691,-1.059938455,-0.704589419,2.149198441,-0.035604717
-2.007128640,0.084473936,-1.089259986,-0.709127275,2.124938364,-0.035255651
-1.988453617,-0.020245819,-1.118406985,-0.713665131,2.100678288,-0.035081118
-1.969778594,-0.124965574,-1.147553983,-0.718202987,2.076418211,-0.034906585
-1.951278104,-0.229685330,-1.176875515,-0.722740843,2.052158134,-0.034732052
